wifi_threshold,mqtt_threshold,bluetooth_threshold,threshold_l1_shift,clean_precision,clean_recall,clean_f1,clean_fpr,worst_attacked_benign_fpr,worst_adv_malicious_recall,worst_robust_f1,worst_attacked_benign_fpr_key,worst_adv_recall_key,worst_robust_f1_key,pass_clean_fpr_guard,pass_attacked_benign_fpr_guard,pass_adv_recall_guard,pass_robust_f1_guard,guard_pass,is_baseline_thresholds
0.8966666667657811,0.9466666583331858,0.8700000753780835,0.040000000000000036,0.9999924931030384,0.9979853222579125,0.9989878994773886,0.00024789291026276647,0.00024789291026276647,0.958807425651399,0.978966840710599,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.8966666667657811,0.9466666583331858,0.8750000753780836,0.03500000000000003,0.9999924930983423,0.9979846979388105,0.9989875866878898,0.00024789291026276647,0.00024789291026276647,0.958807425651399,0.978966840710599,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.8966666667657811,0.9466666583331858,0.8800000753780836,0.030000000000000027,0.9999924930936461,0.9979840736197085,0.9989872738981955,0.00024789291026276647,0.00024789291026276647,0.9587968122266652,0.9789613084281937,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.8966666667657811,0.9466666583331858,0.8850000753780836,0.03500000000000003,0.9999924930842539,0.9979828249815046,0.9989866483182206,0.00024789291026276647,0.00024789291026276647,0.9587968122266652,0.9789613084281937,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.8966666667657811,0.9466666583331858,0.8900000753780836,0.040000000000000036,0.9999924930654692,0.9979803277050966,0.9989853971559248,0.00024789291026276647,0.00024789291026276647,0.9587968122266652,0.9789613084281937,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.9016666667657811,0.9466666583331858,0.8700000753780835,0.03500000000000003,0.9999924930419883,0.9979772061095867,0.9989838331986568,0.00024789291026276647,0.00024789291026276647,0.9587837015255237,0.9789544743495106,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.9016666667657811,0.9466666583331858,0.8750000753780836,0.030000000000000027,0.9999924930372921,0.9979765817904848,0.9989835204066169,0.00024789291026276647,0.00024789291026276647,0.9587837015255237,0.9789544743495106,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.8966666667657811,0.9566666583331858,0.8700000753780835,0.030000000000000027,0.9999924930325959,0.9979759574713828,0.9989832076143813,0.00024789291026276647,0.00024789291026276647,0.958806801332297,0.9789665152838819,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.9016666667657811,0.9466666583331858,0.8800000753780836,0.025000000000000022,0.9999924930325959,0.9979759574713828,0.9989832076143813,0.00024789291026276647,0.00024789291026276647,0.9587730881007901,0.9789489419330943,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.8966666667657811,0.9566666583331858,0.8750000753780836,0.025000000000000022,0.9999924930278996,0.9979753331522808,0.9989828948219504,0.00024789291026276647,0.00024789291026276647,0.958806801332297,0.9789665152838819,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.8966666667657811,0.9566666583331858,0.8800000753780836,0.020000000000000018,0.9999924930232035,0.9979747088331788,0.9989825820293239,0.00024789291026276647,0.00024789291026276647,0.9587961879075633,0.9789609829979499,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.9016666667657811,0.9466666583331858,0.8850000753780836,0.030000000000000027,0.9999924930232035,0.9979747088331788,0.9989825820293239,0.00024789291026276647,0.00024789291026276647,0.9587730881007901,0.9789489419330943,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.8966666667657811,0.9566666583331858,0.8850000753780836,0.025000000000000022,0.999992493013811,0.9979734601949749,0.9989819564434845,0.00024789291026276647,0.00024789291026276647,0.9587961879075633,0.9789609829979499,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.9016666667657811,0.9466666583331858,0.8900000753780836,0.03500000000000003,0.9999924930044185,0.9979722115567708,0.9989813308568631,0.00024789291026276647,0.00024789291026276647,0.9587730881007901,0.9789489419330943,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.8966666667657811,0.9566666583331858,0.8900000753780836,0.030000000000000027,0.999992492995026,0.9979709629185669,0.9989807052694599,0.00024789291026276647,0.00024789291026276647,0.9587961879075633,0.9789609829979499,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.8966666667657811,0.9616666583331858,0.8700000753780835,0.025000000000000022,0.9999924929762409,0.997968465642159,0.9989794540923078,0.00024789291026276647,0.00024789291026276647,0.958803679736787,0.978964888147184,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
0.8966666667657811,0.9616666583331858,0.8750000753780836,0.020000000000000018,0.9999924929715446,0.997967841323057,0.998979141297531,0.00024789291026276647,0.00024789291026276647,0.958803679736787,0.978964888147184,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,True,True,True,True,False
