policy,wifi_threshold,mqtt_threshold,bluetooth_threshold,clean_precision,clean_recall,clean_f1,clean_fpr,attacked_benign_fpr,adv_malicious_recall,robust_f1,worst_attacked_benign_fpr_key,worst_adv_recall_key,worst_robust_f1_key,guard_pass,selection_mode
baseline_thresholds,0.9066666667657811,0.9666666583331858,0.8800000753780836,0.9999924927789918,0.9979422442398759,0.9989663165433726,0.00024789291026276647,0.00024789291026276647,0.9587343803164674,0.9789287643769293,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,reference
tuned_thresholds,0.8966666667657811,0.9466666583331858,0.8700000753780835,0.9999924931030384,0.9979853222579125,0.9989878994773886,0.00024789291026276647,0.00024789291026276647,0.958807425651399,0.978966840710599,surrogate_fgsm@eps=0.01,surrogate_pgd@eps=0.1,surrogate_pgd@eps=0.1,True,guarded
