Protocol,clean_f1,clean_fpr,attacked_benign_fpr,adv_malicious_recall,robust_f1,selected_threshold
WiFi,0.9990717639594328,0.00028751467522821476,,0.9963188926933093,0.9981520864933449,0.8966666667657811
Mqtt,0.9968590344089239,,,0.0519187004629993,0.09871238231651822,0.9466666583331858
Bluetooth,0.9993241362859301,0.0,,0.9998410806515693,0.999920534011443,0.8700000753780835
Global,0.9989878994773886,0.00024789291026276647,,0.958807425651399,0.978966840710599,Model Specific
