protocol_model,threshold,precision,recall,F1,FPR,roc_auc,pr_auc,tp,tn,fp,fn
wifi_catboost_E,0.8966666667657811,0.9999920533906196,0.9981531668495432,0.9990717639594328,0.00028751467522821476,0.9999124116329903,0.9999975948003733,1510066,41725,12,2794
mqtt_catboost_E,0.9466666583331858,1.0,0.9937377383661619,0.9968590344089239,,,1.0,63316,0,0,399
bluetooth_catboost_E,0.8700000753780835,1.0,0.9986491855383393,0.9993241362859301,0.0,0.9999998034650541,0.9999999478853386,25136,6671,0,34
Global,Model Specific,0.9999924931030384,0.9979853222579125,0.9989878994773886,0.00024789291026276647,0.9998859144605375,0.9999965756852277,1598518,48396,12,3227
