attack_method,epsilon,precision_baseline,precision_tuned,delta_precision,adv_malicious_recall_baseline,adv_malicious_recall_tuned,delta_adv_malicious_recall,robust_f1_baseline,robust_f1_tuned,delta_robust_f1,attacked_benign_fpr_baseline,attacked_benign_fpr_tuned,delta_attacked_benign_fpr,tp_baseline,tp_tuned,delta_tp,fn_baseline,fn_tuned,delta_fn
surrogate_fgsm,0.01,0.999992200666453,0.9999922012290864,5.626333843267162e-10,0.9605655082425728,0.9606348076628928,6.929942031996816e-05,0.9798824202999804,0.9799184766254762,3.6056325495748e-05,0.0002478929102627,0.0002478929102627,0.0,1538581,1538692,111,63164,63053,-111
surrogate_fgsm,0.02,0.9999921964568012,0.9999921969794509,5.226497012955633e-10,0.96004732338793,0.960111628255434,6.430486750397257e-05,0.9796127291282584,0.9796462045775736,3.347544931520119e-05,0.0002478929102627,0.0002478929102627,0.0,1537751,1537854,103,63994,63891,-103
surrogate_fgsm,0.05,0.9999921899101448,0.9999921903828468,4.727019886630046e-10,0.9592425760654786,0.9593006377419628,5.806167648425564e-05,0.9791936126828624,0.9792238630193556,3.02503364931761e-05,0.0002478929102627,0.0002478929102627,0.0,1536462,1536555,93,65283,65190,-93
surrogate_fgsm,0.1,0.9999921857753762,0.9999921863706864,5.95310245543601e-10,0.9587350046355694,0.958808049970501,7.304533493157628e-05,0.9789290898277112,0.9789671661371088,3.8076309397561126e-05,0.0002478929102627,0.0002478929102627,0.0,1535649,1535766,117,66096,65979,-117
surrogate_pgd,0.01,0.999992200661384,0.999992201224018,5.626340504605309e-10,0.960564883923471,0.9606341833437908,6.929942031985714e-05,0.9798820954566342,0.9799181518050928,3.605634845860184e-05,0.0002478929102627,0.0002478929102627,0.0,1538580,1538691,111,63165,63054,-111
surrogate_pgd,0.02,0.9999921964517264,0.9999921969743768,5.226503674293781e-10,0.960046699068828,0.960111003936332,6.430486750397257e-05,0.97961240411313,0.97964587958377,3.347547064003198e-05,0.0002478929102627,0.0002478929102627,0.0,1537750,1537853,103,63995,63892,-103
surrogate_pgd,0.05,0.9999921899050618,0.9999921903777644,4.727026547968194e-10,0.9592419517463766,0.9593000134228606,5.80616764840336e-05,0.979193287400684,0.9792235377564557,3.025035577164381e-05,0.0002478929102627,0.0002478929102627,0.0,1536461,1536554,93,65284,65191,-93
surrogate_pgd,0.1,0.9999921857702876,0.9999921863655986,5.953110226997183e-10,0.9587343803164674,0.958807425651399,7.304533493157628e-05,0.9789287643769292,0.978966840710599,3.8076333669812e-05,0.0002478929102627,0.0002478929102627,0.0,1535648,1535765,117,66097,65980,-117
